Tweet:lihat magnus chase ... lihat price tag ... ummmmmm ... im fine ... yas ... ok ... 	 ReaderName:maya_มะยๅ 	 ReaderScreenName:mypxckyyy 	 ReaderId:261068778 	 userLocation:my cave 	 FollowersCount:464 	 FriendsCount:245 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 03:09:19 
Tweet:Rick Riordan is back with another adventure that blends together the worlds of gods &amp; men: https://t.co/GrKM3z2vCl https://t.co/9lm11rvi8x 	 ReaderName:QBD The Bookshop 	 ReaderScreenName:QBDTheBookshop 	 ReaderId:81306718 	 userLocation:Australia 	 FollowersCount:2554 	 FriendsCount:1056 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 03:00:13 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Nicole Layug 	 ReaderScreenName:very_invisible_ 	 ReaderId:244747247 	 userLocation:New York 	 FollowersCount:124 	 FriendsCount:989 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-27 02:53:10 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Tik-Ahhhh-Stein  	 ReaderScreenName:astoldbyfANGIRL 	 ReaderId:2683744734 	 userLocation: 	 FollowersCount:780 	 FriendsCount:1300 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-27 02:48:21 
Tweet:Finally finished Magnus Chase and I'm pretty happy ☺️🎉🦄 	 ReaderName:(spoo)k(y)ellie ᵔ◡ᵔ 	 ReaderScreenName:bloomabilityy 	 ReaderId:858668114 	 userLocation:i talk about books↓ 	 FollowersCount:193 	 FriendsCount:125 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 02:44:53 
Tweet:RT @ImaginationSoup: If You Like Magnus Chase, You'll Like These Other Norse Mythology Books https://t.co/Fa7XjqcZxh #kidlit https://t.co/X… 	 ReaderName:S. M. Stryker 	 ReaderScreenName:smstryker 	 ReaderId:2214653264 	 userLocation:Oregon, USA 	 FollowersCount:3223 	 FriendsCount:3170 	 CreatedTime:False 	 Retweeted:3 	 RetweetCount:2015-10-27 02:40:02 
Tweet:RT @ImaginationSoup: If You Like Magnus Chase, You'll Like These Other Norse Mythology Books https://t.co/Fa7XjqcZxh #kidlit https://t.co/X… 	 ReaderName:Elizabeth Woodrum 	 ReaderScreenName:ewoodrumauthor 	 ReaderId:1948966428 	 userLocation:Ohio 	 FollowersCount:1517 	 FriendsCount:1466 	 CreatedTime:False 	 Retweeted:3 	 RetweetCount:2015-10-27 02:39:31 
Tweet:@camphalfblood still waiting for Magnus Chase to come in the mail I'm DYING I need it now 😭 	 ReaderName:Brianna 	 ReaderScreenName:lnWildestDreams 	 ReaderId:1648235468 	 userLocation:Wonderland 	 FollowersCount:5346 	 FriendsCount:2393 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 02:39:13 
Tweet:@UltimateVirtues I can tell man, Magnus Chase been a blast so far
I'm getting these Lightning Theif vibes 	 ReaderName:HERO-CHAN¡ 	 ReaderScreenName:trinityIimit 	 ReaderId:2564128662 	 userLocation:a majora pain in the ass 	 FollowersCount:808 	 FriendsCount:325 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 02:34:49 
Tweet:RT @trinityIimit: AND MAGNUS CHASE OH BOY

THE FACT THAT HE'S RELATED TO ANNABETH AND THEN THIS https://t.co/ZrZQw1KdRp 	 ReaderName:Jigo Spark 	 ReaderScreenName:Steezaleeze 	 ReaderId:2644683550 	 userLocation: 	 FollowersCount:416 	 FriendsCount:330 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-27 02:26:15 
Tweet:AND MAGNUS CHASE OH BOY

THE FACT THAT HE'S RELATED TO ANNABETH AND THEN THIS https://t.co/ZrZQw1KdRp 	 ReaderName:HERO-CHAN¡ 	 ReaderScreenName:trinityIimit 	 ReaderId:2564128662 	 userLocation:a majora pain in the ass 	 FollowersCount:808 	 FriendsCount:325 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-27 02:21:45 
Tweet:RT @ImaginationSoup: If You Like Magnus Chase, You'll Like These Other Norse Mythology Books https://t.co/Fa7XjqcZxh #kidlit https://t.co/X… 	 ReaderName:Allison Ruth 	 ReaderScreenName:somethewiser 	 ReaderId:279629159 	 userLocation:New Mexico 	 FollowersCount:864 	 FriendsCount:1019 	 CreatedTime:False 	 Retweeted:3 	 RetweetCount:2015-10-27 02:20:05 
Tweet:@SuperheroFeed which asgard? Mcu? Norse myth? Magnus Chase? Hitchhikers' guide to galaxy? 	 ReaderName:Chanel #2 	 ReaderScreenName:neesh_chal 	 ReaderId:162061629 	 userLocation:ne.pal. 	 FollowersCount:419 	 FriendsCount:288 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 02:18:05 
Tweet:If You Like Magnus Chase, You'll Like These Other Norse Mythology Books https://t.co/Fa7XjqcZxh #kidlit https://t.co/XOcnX47PGk 	 ReaderName:Melissa Taylor 	 ReaderScreenName:ImaginationSoup 	 ReaderId:56929066 	 userLocation:Denver, Colorado 	 FollowersCount:27533 	 FriendsCount:25318 	 CreatedTime:False 	 Retweeted:3 	 RetweetCount:2015-10-27 02:15:19 
Tweet:On page 285 of 512 of Magnus Chase and the Gods of Asgard, Book 1 The, by Rick Riordan https://t.co/HxfoNVGnXE 	 ReaderName:Kristin Pugh 	 ReaderScreenName:Lilaini84 	 ReaderId:48205788 	 userLocation:Ontario, Canada 	 FollowersCount:15 	 FriendsCount:116 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 01:17:08 
Tweet:RT @mybusykids: Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer - $10.79 https://t.co/EgVyIoSjqg 	 ReaderName:DBL Mm Accessories 	 ReaderScreenName:dbl_mm 	 ReaderId:510879933 	 userLocation:Houston, Texas 	 FollowersCount:1242 	 FriendsCount:2025 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-27 01:11:56 
Tweet:Really need to get Magnus Chase 😩😒😔 	 ReaderName:Nashaa ✨ 	 ReaderScreenName:Juicegawdd 	 ReaderId:2898842894 	 userLocation:sc : nasha_trill 	 FollowersCount:223 	 FriendsCount:156 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 01:03:29 
Tweet:RT @PenguinTeenAus: Already the #MagnusChase fan-art is A+ like Hearth by Redemsi @camphalfblood #FanArtFriday https://t.co/BXphRFEL8a http… 	 ReaderName:Just Me and Myself 	 ReaderScreenName:sabriel25 	 ReaderId:87987359 	 userLocation:Neverwhere 	 FollowersCount:304 	 FriendsCount:525 	 CreatedTime:False 	 Retweeted:2 	 RetweetCount:2015-10-27 00:42:28 
Tweet:goodbye internet. i'm disappearing into the world of magnus chase. see you... sometime in the future. 	 ReaderName:cass 	 ReaderScreenName:trialsofapolIo 	 ReaderId:155351209 	 userLocation:❝    ❞ 	 FollowersCount:2710 	 FriendsCount:740 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 00:10:40 
