2,lihat magnus chase ... lihat price tag ... ummmmmm ... im fine ... yas ... ok ...,Magnus Chase
4,Rick Riordan is back with another adventure that blends together the worlds of gods &amp; men: https://t.co/GrKM3z2vCl https://t.co/9lm11rvi8x,Magnus Chase
4,Finally finished Magnus Chase and I'm pretty happy ??????,Magnus Chase
4,"RT @ImaginationSoup: If You Like Magnus Chase, You'll Like These Other Norse Mythology Books https://t.co/Fa7XjqcZxh #kidlit https://t.co/X…",Magnus Chase
4,@camphalfblood still waiting for Magnus Chase to come in the mail I'm DYING I need it now ??,Magnus Chase
4,"I can tell man, Magnus Chase been a blast so far I'm getting these Lightning Theif vibes",Magnus Chase
2,RT @trinityIimit: AND MAGNUS CHASE OH BOY THE FACT THAT HE'S RELATED TO ANNABETH AND THEN THIS https://t.co/ZrZQw1KdRp,Magnus Chase
2,@SuperheroFeed which asgard? Mcu? Norse myth? Magnus Chase? Hitchhikers' guide to galaxy? ,Magnus Chase
2,"On page 285 of 512 of Magnus Chase and the Gods of Asgard, Book 1 The, by Rick Riordan https://t.co/HxfoNVGnXE",Magnus Chase
2,"RT @mybusykids: Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer - $10.79 https://t.co/EgVyIoSjqg",Magnus Chase
4,Really need to get Magnus Chase ?????? ,Magnus Chase
4,RT @PenguinTeenAus: Already the #MagnusChase fan-art is A+ like Hearth by Redemsi @camphalfblood #FanArtFriday https://t.co/BXphRFEL8a http…,Magnus Chase
4,goodbye internet. i'm disappearing into the world of magnus chase. see you... sometime in the future.,Magnus Chase
4, I'm putting The Prisoner of Azkaban on hold to read Magnus Chase! Can't wait to start reading it!! https://t.co/s0Q7hftVpZ,Magnus Chase
4,RT @VeryVictoriaish: I love chocolate the way Magnus Chase loves falafel. So a lot. #MagnusChase,Magnus Chase
2,"magnus chase is out eons ago and still battle of the labyrinth pa lang ako ugh wait, magnus. i'll see you soon",Magnus Chase
0,yo what is the point of not having magnus chase yet if i wouldnt be able to read it anyway #$kool ,Magnus Chase
2,Photoset: titancalledbob: Magnus Chase and the Gods of Asgard Official Trailer | edit https://t.co/Icf97LImWc,Magnus Chase
0,Magnus Chase and the Gods of Asgard is out but I'm broke. Hoping dad will buy me one.,Magnus Chase
4,"Best Sellers in Children's Books #2: Magnus Chase and the Gods of Asgard, Boo…https://t.co/s7rBQUa4x1 #Kindle https://t.co/mVTgjE3jdo",Magnus Chase
4,"@camphalfblood Magnus Chase is amazing. I'm not done yet, but wow. Amazing.",Magnus Chase
2,"I need to download Rick Riordan's latest series, Magnus Chase.",Magnus Chase
2,Win a copy of MAGNUS CHASE AND THE GODS OF ASGARD by Rick Riordan at https://t.co/VUjl8nuZmH!  https://t.co/J0D8ni91gp,Magnus Chase
2,RT @zachsnacks: if ur name is Rick riordan mail me a free copy of Magnus chase ,Magnus Chase
2,@camphalfblood Will there be a Magnus Chase/Kane Chronicles crossover? Or even a Magnus Chase/Percy Jackson crossover (other than Annabeth)?,Magnus Chase
